id,gap,magnitude,significance,depth,distance,latitude,longitude,name,hour
us10006ds7,27,5.6,482,64.69,0.225,51.5396,179.5501,Alaska,12
nc72672610,32,5.09,899,14.45,0.155,39.3293333,-122.8018333,California,22
us10006egr,134,4.8,359,10,1.134,7.7908,-82.0387,Panama,12
us20006trx,106,4.7,340,33.98,0.989,51.9892,175.1682,Alaska,1
us10006ek2,122,4.6,333,21.58,0.297,9.6321,-84.1335,Costa Rica,12
us20006u2u,109,4.6,326,35,1.422,52.0501,177.2868,Alaska,19
us10006bx6,52,4.5,312,17.66,0.571,10.6074,-83.8316,Costa Rica,2
us10006c9f,146,4.5,313,11.01,0.132,8.494,-82.9803,Costa Rica,2
us10006dpm,174,4.5,312,61.65,1.219,52.2427,-171.6494,Alaska,0
nc72670060,174,4.48,779,6.87,0.07481,40.1538333,-120.2131667,California,0
us100068a3,78,4.3,284,47.8,1.98,9.2515,-77.8334,Panama,0
us100068xc,174,4.3,284,6.37,0.953,51.4128,-179.1796,Alaska,1
us10006bzv,148,4.3,284,10,2.539,6.0248,-82.67,Panama,20
us10006drs,178,4.3,284,31.56,0.853,51.9803,-170.0901,Alaska,10
us10006e10,93,4.3,284,137.01,0.904,51.9449,178.1702,Alaska,18
ak13872309,0,4.3,284,26.6,0,50.8732,177.7846,Alaska,22
us100067z6,56,4.2,271,10,1.639,42.9566,40.8998,Georgia,2
ak13853965,0,4.2,275,23.3,0,61.6036,-146.3339,Alaska,13
ak13824636,0,4.1,293,38.2,0,62.049,-149.3909,Alaska,20
ak13840522,0,4.1,264,111.2,0,59.7282,-153.3328,Alaska,14
ak13846870,0,4.1,259,8.1,0,56.9786,-157.8265,Alaska,15
us10006ebk,59,4.1,266,6.075,0,36.2476,-98.4451,Oklahoma,22
us20006u1q,155,4.1,260,28.59,0.431,8.9481,-83.6911,Costa Rica,9
ci37644544,30,4.03,266,3.2,0.03565,32.9583333,-115.7605,California,12
us100068gx,205,4,246,42.98,1.068,52.7785,-166.4747,Alaska,14
us100069yf,196,4,246,34.95,0.851,51.4562,-173.7246,Alaska,20
us10006ckm,42,4,285,5,0.154,35.6771,-97.1894,Oklahoma,7
us10006d79,49,4,264,10.55,0.153,36.6385,-98.0775,Oklahoma,1
us10006eew,20,4,531,1.18,0.074,35.6867,-97.1082,Oklahoma,9
nc72670070,143,3.99,255,5.31,0.3046,40.1506667,-120.2153333,California,0
us100069ry,0,3.9,234,1,0,60.1623,-139.5874,Alaska,11
pr16220001,237.6,3.9,234,101,1.13726715,19.4428,-65.4365,Puerto Rico,22
us10006fgh,209,3.9,234,45.97,0.829,51.3946,-174.4984,Alaska,20
us10006cgg,0,3.9,323,6.6,0,36.211,-97.57,Oklahoma,17
us10006g0b,64,3.9,236,4.51,0.449,36.992,-104.9418,Colorado,12
nc72673090,111,3.84,229,8.04,0.1169,39.9603333,-122.7846667,California,9
ak13817067,201.5999839,3.8,222,72.5,1.385202,51.8256,176.2708,Alaska,7
us10006d4t,210,3.8,222,35.72,1.416,51.2614,-174.2214,Alaska,18
ak13842401,0,3.8,222,17.6,0,51.6085,-174.3213,Alaska,23
